code;libelle;type;source;documentMaitre;reprises;typesMarche;categories;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif
B06-TP-01;Total des points de l'évaluation technique;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-TP-02;Points : expérience des candidats pertinente pour la mission;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-TP-03;Points : conformité du plan de travail et de la méthode aux termes de référence;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-TP-04;Points : qualifications et compétence du personnel clé;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-TP-05;Points : adéquation du programme de transfert de connaissances;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-TP-06;Points : participation de ressortissants nationaux au personnel clé;NOMBRE;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-OF-01;Modalités d'ouverture des propositions financières;TEXTE_LONG;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-CS-01;Modalités de classement des propositions;TEXTE_LONG;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B06-NG-01;Adresse des négociations;TEXTE_LONG;SAISIE;DPIC;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B08-DP-01;Titulaire du paiement;LISTE;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;Consultant unique,Groupement de consultants solidaires,Groupement de consultants conjoints;;;oui
B08-AI-01;Avance forfaitaire prévue au cahier des clauses;OUI_NON;CADRAGE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;avance;;oui
B08-AI-02;Le consultant renonce à percevoir l'avance forfaitaire;OUI_NON;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;avance = OUI;non;;;;;;oui
B08-RP-01;Règlement des prestations d'une durée inférieure à trois mois;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B08-RP-02;Règlement des prestations rémunérées au temps passé;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;oui
B08-RP-03;Règlement des prestations par étapes ou remise de documents;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;oui
B08-IP-01;Taux des intérêts moratoires dus au consultant (%);POURCENTAGE;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;INTERETS_MORATOIRES_TAUX:TAUX;;;;oui
B09-DP-01;Point de départ du marché;TEXTE_LONG;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-DP-02;Délai d'exécution des prestations;TEXTE_LONG;SAISIE;AE;CCAP;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-DP-03;Durée globale du marché;LISTE;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;Nombre de mois,Date de fin de marché;;;oui
B09-DP-04;Durée en mois ou date de fin du marché;TEXTE;SAISIE;AE;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-NC-01;Adresse détaillée du consultant pour les notifications;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-DK-01;Documents rendus contractuels;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-MV-01;Délai des demandes d'ajustement du prix ou des délais d'achèvement (jours);NOMBRE;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-MS-01;Mesures de sécurité ou de protection du secret applicables;OUI_NON;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-AI-01;Assistance du client pendant l'exécution;OUI_NON;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-AI-02;Intrants à fournir par le client pendant l'exécution;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;oui
B09-AP-01;Montant de l'assurance exigée du consultant (Ariary);MONTANT;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;MONTANT_POSITIF;;;;oui
B09-MF-01;Matériel confié par le client au consultant;OUI_NON;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-MF-02;Forme de la garantie de restitution du matériel confié;LISTE;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;Garantie bancaire,Engagement de caution personnelle et solidaire,Cautionnement en numéraire par chèque de banque;;;oui
B09-FC-01;Documents à fournir par le consultant pour le matériel qu'il fournit;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;non
B09-PP-01;Pénalités et retenues applicables;OUI_NON;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;PENALITES_PLAFOND_15:TAUX;;;;oui
B09-UR-01;Dispositions sur l'utilisation des résultats des prestations;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B09-OP-01;Modalités de vérification et d'agrément des résultats;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B10-IN-01;Taux d'indemnisation en cas de résiliation du fait du client (%);POURCENTAGE;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;oui
B10-PP-01;Procédure contentieuse et juridiction compétente;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;oui;;;;;;oui
B10-DP-01;Dérogations aux documents généraux;TEXTE_LONG;SAISIE;CCAP;;QUANTITE_FIXE,A_COMMANDE;PRESTATIONS_INTELLECTUELLES;;non;;;;;;oui
