code;libelle;type;source;documentMaitre;reprises;typesMarche;condition;obligatoire;texteType;controle;options;cleCadrage;clePpm;actif
B06-SC-01;Modalités d'ouverture des plis par le représentant de l'autorité contractante;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B06-SC-02;Critères d'élimination des candidatures;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B06-SO-01;Rejet des offres hors délais et ouverture des offres;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;non;;;;;;oui
B06-SO-02;Analyse des offres;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;non;;;;;;oui
B06-SO-03;Rejet des offres non recevables;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;non;;;;;;oui
B06-SO-04;Comparaison des offres pour la sélection de l'offre économiquement la plus avantageuse;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B06-SO-05;Critères et mécanisme de jugement des offres;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B06-CA-01;Critères d'attribution du contrat-cadre et modalités d'appréciation;TEXTE_LONG;SAISIE;DPAC;;CONTRAT_CADRE;;oui;;;;;;oui
B06-NO-01;Date de réception portée sur l'accusé de réception;DATE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B06-NO-02;Date de remise en main propre au titulaire;DATE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-PS-01;Fait générateur de la passation des marchés subséquents;LISTE;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;;Lors de la survenance du besoin,Selon le calendrier fixé à l'article premier du contrat-cadre;;;oui
B07-PS-02;Adresse d'envoi des demandes aux titulaires;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-PS-03;Délai de réponse des titulaires (heures);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-FS-01;Forme des marchés subséquents;LISTE;SAISIE;AE;DPAC;CONTRAT_CADRE;;oui;;;Marchés uniques non fractionnés,Marchés fractionnés par bons de commande successifs;;;oui
B07-FS-02;Interlocuteur du titulaire (service, direction, coordonnées);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-MA-01;Délai de complétude de l'offre initiale (mono-attributaire);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;attributaires = MONO;oui;;;;;;oui
B07-MA-02;Point de départ du délai de complétude;LISTE;SAISIE;AE;;CONTRAT_CADRE;attributaires = MONO;oui;;;À compter de la notification de la demande de complétude,Lors de la demande de complétude;;;oui
B07-MA-03;Attribution des marchés subséquents après remise en concurrence (non alloti);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;attributaires = MULTI;oui;;;;;;oui
B07-MA-04;Modalités d'attribution des marchés subséquents en cas d'allotissement;LISTE;SAISIE;AE;;CONTRAT_CADRE;attributaires = MULTI;non;;;Option 1,Option 2;;;oui
B07-MA-05;Modalités d'attribution lorsque le contrat-cadre est à la fois alloti et non alloti;LISTE;SAISIE;AE;;CONTRAT_CADRE;attributaires = MULTI;non;;;Option 1,Option 2;;;oui
B07-TN-01;Termes non couverts par le contrat-cadre (mono-attributaire);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;attributaires = MONO;non;;;;;;oui
B07-TN-02;Termes non couverts par le contrat-cadre (multi-attributaire);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;attributaires = MULTI;non;;;;;;oui
B07-PI-01;Pièces contractuelles du contrat-cadre et des marchés subséquents;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-DU-01;Entrée en vigueur du contrat-cadre;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-DU-02;Durée des marchés subséquents fixée dans le contrat-cadre;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-DU-03;Durée des marchés subséquents (mois);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-DU-04;Nombre de reconductions du contrat-cadre;NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-DU-05;Nombre d'années maximum du contrat-cadre, reconductions comprises;NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-DU-06;Durée totale du contrat-cadre, reconduit ou non (mois);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B07-DE-01;Délais d'exécution des marchés subséquents uniques ou non fractionnés;LISTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;Fixés par l'autorité contractante,À l'initiative des candidats,Fixés dans les marchés subséquents;;;oui
B07-DE-02;Délai d'exécution fixé par l'autorité contractante;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-DE-03;Délai d'exécution à l'initiative des candidats;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-DE-04;Délais d'exécution des marchés fractionnés par bons de commande;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B07-PE-01;Pénalités de retard des marchés subséquents;LISTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;PENALITES_PLAFOND_15:TAUX;Non applicables,Fixées dans le contrat-cadre,Fixées dans les marchés subséquents;;;oui
B07-PE-02;Régime des pénalités fixées dans le contrat-cadre;LISTE;SAISIE;AE;;CONTRAT_CADRE;;non;;;Conformément à l'article 12 du CCAG,Dérogation au CCAG;;;oui
B07-PE-03;Pénalités dérogeant au CCAG : rédaction libre;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;PENALITES_PLAFOND_15:DEROGATION;;;;oui
B08-FI-02;Modalités de versement de l'avance (délai de paiement en jours calendaires);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;avance = OUI;oui;;;;;;oui
B08-FI-03;Montant de l'avance (% du montant TTC du marché subséquent, maximum 20 %);POURCENTAGE;SAISIE;AE;;CONTRAT_CADRE;avance = OUI;oui;;AVANCE_SUP_5_GARANTIE:TAUX;;;;oui
B08-FI-04;Remboursement de l'avance (article 72.III du code des marchés publics);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;avance = OUI;non;;;;;;oui
B08-FI-05;Avance versée au sous-traitant du titulaire;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B08-FP-01;Présentation des demandes de paiement;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B08-FP-02;Adresse de facturation (service responsable de la vérification des demandes de paiement);TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B08-FP-03;Délai de paiement (jours);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;oui;;DELAI_PAIEMENT_75:DELAI;;;;oui
B08-FP-04;Taux des intérêts moratoires (%, au moins un point);POURCENTAGE;SAISIE;AE;;CONTRAT_CADRE;;oui;;INTERETS_MORATOIRES_TAUX:TAUX;;;;oui
B08-FP-05;Règlement des prestations;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B08-FP-06;Nom et adresse de la banque;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B08-FP-07;Titulaire du compte;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B08-FP-08;Code banque, code guichet et numéro de compte;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B08-FP-09;Clé du relevé d'identité bancaire (RIB);TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B09-EA-01;Modalités générales d'exécution communes aux marchés subséquents;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B09-EA-02;Contenu des modalités générales d'exécution communes;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B09-EA-03;Modalités particulières à fixer dans les marchés subséquents;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B09-VA-01;Vérification et admission des prestations;LISTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;Dispositions du CCAG applicables,Clause libre;;;oui
B09-VA-02;Clause libre de vérification et d'admission;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B09-GP-01;Garanties contractuelles particulières fournies par le titulaire;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B09-GP-02;Nature des garanties particulières;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B09-AU-01;Assurance exigée du titulaire;OUI_NON;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B09-AU-02;Attestation d'assurance à justifier;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B09-AU-03;Délai de remise de l'attestation d'assurance (jours);NOMBRE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B10-VR-01;Juridiction compétente pour les litiges nés du contrat-cadre;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
B10-MT-01;Changement de dénomination sociale du titulaire : service acheteur;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B10-MT-02;Changement de contractant en cours d'exécution : service acheteur;TEXTE;SAISIE;AE;;CONTRAT_CADRE;;non;;;;;;oui
B10-RS-01;Résiliation sans faute du contrat-cadre;TEXTE_LONG;SAISIE;AE;;CONTRAT_CADRE;;oui;;;;;;oui
